"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"GSM971976","CMS2",0.811367825128757,0.607483371729276,0.764778663408501,0.767473451465452,0.001,0.00128054298642534
"GSM971977","CMS4",0.613550680876848,0.790392346852316,0.610822965204957,0.546317331283527,0.001,0.00128054298642534
"GSM971978","CMS1",0.559841994738838,0.751607107199191,0.721994954595012,0.748896818791375,0.001,0.00128054298642534
"GSM971979","CMS1",0.58393040749909,0.840078387855886,0.647050264484492,0.696757184228369,0.001,0.00128054298642534
"GSM971980","CMS1",0.514555827839327,0.76526354881689,0.648861602557635,0.687807090215018,0.001,0.00128054298642534
"GSM971981","CMS1",0.563144701968038,0.843351321787655,0.737922999717399,0.653764149123111,0.001,0.00128054298642534
"GSM971982","CMS1",0.504480899648875,0.809731437359818,0.717423063833112,0.595959616216108,0.001,0.00128054298642534
"GSM971983","CMS1",0.518240425480571,0.806912617436172,0.697908086568184,0.633307839536333,0.001,0.00128054298642534
"GSM971984","CMS1",0.608441595200873,0.801820448092967,0.792835787030179,0.679325507777146,0.001,0.00128054298642534
"GSM971985","CMS3",0.722731967689053,0.743676307339313,0.524074548009967,0.859707761483151,0.001,0.00128054298642534
"GSM971986","CMS4",0.730714606910759,0.633367952084301,0.761771058370462,0.541472305281329,0.001,0.00128054298642534
"GSM971987","CMS4",0.738485976912613,0.733568289095213,0.624182449462806,0.562474369566073,0.001,0.00128054298642534
"GSM971988","CMS1",0.537418370621796,0.770169598734079,0.638290366145906,0.736702252057456,0.001,0.00128054298642534
"GSM971989","CMS3",0.658646251206952,0.759846622009747,0.592509039622723,0.835029896538949,0.001,0.00128054298642534
"GSM971990","CMS3",0.679586113301086,0.728882011283199,0.66131543571769,0.815662046249862,0.001998001998002,0.00245307837498727
"GSM971991","CMS4",0.790644801912684,0.643300965136436,0.796078386652489,0.621210236954368,0.001,0.00128054298642534
"GSM971992","CMS2",0.745936557217549,0.624414969329822,0.739723639998733,0.821517693363202,0.001,0.00128054298642534
"GSM971993","CMS3",0.557947409881815,0.695524460503865,0.557259658924178,0.693038356805752,0.024975024975025,0.028557301284574
