"","prediction","d.CMS1","d.CMS2","d.CMS3","d.CMS4","p.value","FDR"
"GSM437093",NA,0.761877556477289,0.683934796391963,0.735015105696635,0.764440775155501,0.186813186813187,0.2003996003996
"GSM437094","CMS3",0.74521838952511,0.731439543689607,0.565756201133468,0.823930472394028,0.001,0.001416
"GSM437095","CMS2",0.803191636403272,0.633128094115541,0.706313070025561,0.845685609092355,0.001,0.001416
"GSM437096","CMS3",0.689707327070134,0.729672542819282,0.538641901852621,0.788965900985795,0.001,0.001416
"GSM437097",NA,0.718978491239447,0.723066613321916,0.716516385748101,0.845589204194778,0.927072927072927,0.943056943056943
"GSM437098",NA,0.749966786954644,0.704337418778986,0.764543315029953,0.704236014996215,0.050949050949051,0.0578075770383463
"GSM437099","CMS3",0.65766562953256,0.746139506713582,0.590018590147294,0.881258855487834,0.001,0.001416
"GSM437100","CMS2",0.751064856732549,0.649458649677666,0.759941449658358,0.698909996794556,0.001,0.001416
"GSM437101","CMS2",0.78305407016693,0.629824705602281,0.723180140821134,0.861805223180281,0.001,0.001416
"GSM437102","CMS4",0.710661980002393,0.74340719919229,0.730732228319751,0.537416941600344,0.001,0.001416
"GSM437103","CMS2",0.751368684069957,0.589002201973084,0.765023798086642,0.67507748143117,0.001,0.001416
"GSM437104","CMS1",0.609425849007246,0.769446306005221,0.664725287943062,0.84322151183539,0.001,0.001416
"GSM437105","CMS1",0.571751734715415,0.757549932211656,0.657441040889669,0.811010312430581,0.001,0.001416
"GSM437106",NA,0.654445460989693,0.6551688633926,0.696259598582516,0.734734886042621,0.551448551448551,0.567479032595312
"GSM437107",NA,0.719720710537489,0.656541353855282,0.635257914281961,0.816066704941686,0.044955044955045,0.0516691101106685
"GSM437108","CMS3",0.639774029223564,0.746568212876569,0.593544280390694,0.829420309671181,0.001,0.001416
"GSM437109","CMS4",0.707613205872915,0.723874528827034,0.769302557474092,0.67507473854038,0.010989010989011,0.0137947159223755
"GSM437110","CMS3",0.717013637616787,0.677877907825735,0.596858927157821,0.783517988921563,0.001,0.001416
"GSM437111","CMS4",0.650486099478196,0.702429228474304,0.736799605693995,0.584650108489123,0.001,0.001416
"GSM437112","CMS2",0.739832386728165,0.630366197543837,0.761243501367436,0.761729310389362,0.017982017982018,0.0212187812187812
"GSM437113","CMS2",0.773748411298504,0.601211866533739,0.769856574490806,0.660246759186382,0.001,0.001416
"GSM437114","CMS2",0.74789785755861,0.649647712805936,0.712221236690944,0.776968071864328,0.002997002997003,0.00395872783932485
"GSM437115","CMS2",0.792495767414661,0.599732389487819,0.704797109556966,0.76891990788683,0.001,0.001416
"GSM437116","CMS2",0.746642013932795,0.631599668393809,0.787315673108014,0.67113591190403,0.00899100899100899,0.0113672042243471
"GSM437117","CMS4",0.775504500980667,0.634192027734594,0.786198958653138,0.603185086074316,0.001,0.001416
"GSM437118","CMS1",0.581375844772308,0.806489120302572,0.775968636841485,0.724526307508511,0.001,0.001416
"GSM437119","CMS4",0.710478907258838,0.751540845242872,0.685989201744105,0.444660343216669,0.001,0.001416
"GSM437120","CMS3",0.725689121188484,0.659528090532446,0.634209775027332,0.662364996146708,0.001,0.001416
"GSM437121","CMS3",0.655402631920382,0.672010457433999,0.636130010429533,0.738972474913242,0.001,0.001416
